State Code,State Name,Year,Unemployment Rate,Alcohol Consumption
AUT,Austria,2011,4.883333333333,11.90000000
AUT,Austria,2012,5.233333333333,12.10000000
AUT,Austria,2013,5.725000000000,11.90000000
AUT,Austria,2014,6.033333333333,12.20000000
AUT,Austria,2015,6.158333333333,11.20000000
AUT,Austria,2016,6.466666666667,11.40000000
AUT,Austria,2017,5.925000000000,11.30000000
AUT,Austria,2018,5.216666666667,11.30000000
AUT,Austria,2019,4.808333333333,11.60000000
AUT,Austria,2020,6.100000000000,11.30000000
AUT,Austria,2021,6.158333333333,11.10000000
BEL,Belgium,2011,7.233333333333,10.10000000
BEL,Belgium,2012,7.650000000000,10.10000000
BEL,Belgium,2013,8.575000000000,10.30000000
BEL,Belgium,2014,8.650000000000,10.60000000
BEL,Belgium,2015,8.658333333333,10.40000000
BEL,Belgium,2016,7.841666666667,9.40000000
BEL,Belgium,2017,7.116666666667,9.30000000
BEL,Belgium,2018,5.975000000000,9.20000000
BEL,Belgium,2019,5.383333333333,9.20000000
CZE,Czechia,2011,6.716666666667,11.50000000
CZE,Czechia,2012,6.975000000000,11.60000000
CZE,Czechia,2013,6.966666666667,11.50000000
CZE,Czechia,2014,6.133333333333,11.90000000
CZE,Czechia,2015,5.050000000000,11.50000000
CZE,Czechia,2016,3.950000000000,11.70000000
CZE,Czechia,2017,2.908333333333,11.60000000
CZE,Czechia,2018,2.241666666667,11.80000000
CZE,Czechia,2019,2.033333333333,11.90000000
CZE,Czechia,2020,2.550000000000,11.60000000
CZE,Czechia,2021,2.816666666667,11.60000000
DEU,Germany,2011,5.525000000000,11.30000000
DEU,Germany,2012,5.058333333333,11.30000000
DEU,Germany,2013,4.941666666667,11.10000000
DEU,Germany,2014,4.716666666667,11.10000000
DEU,Germany,2015,4.358333333333,11.10000000
DEU,Germany,2016,3.933333333333,11.00000000
DEU,Germany,2017,3.558333333333,10.90000000
DEU,Germany,2018,3.208333333333,10.90000000
DEU,Germany,2019,2.983333333333,10.60000000
DNK,Denmark,2011,7.758333333333,11.00000000
DNK,Denmark,2012,7.791666666667,9.80000000
DNK,Denmark,2013,7.366666666667,10.00000000
DNK,Denmark,2014,6.916666666667,10.10000000
DNK,Denmark,2015,6.266666666667,9.90000000
DNK,Denmark,2016,5.983333333333,10.00000000
DNK,Denmark,2017,5.825000000000,9.70000000
DNK,Denmark,2018,5.125000000000,9.70000000
DNK,Denmark,2019,5.000000000000,9.50000000
DNK,Denmark,2020,5.625000000000,9.70000000
DNK,Denmark,2021,5.083333333333,10.40000000
ESP,Spain,2011,21.408333333333,9.60000000
ESP,Spain,2012,24.800000000000,9.40000000
ESP,Spain,2013,26.108333333333,9.20000000
ESP,Spain,2014,24.450000000000,9.50000000
ESP,Spain,2015,22.066666666667,10.40000000
ESP,Spain,2016,19.633333333333,10.90000000
ESP,Spain,2017,17.241666666667,10.90000000
ESP,Spain,2018,15.250000000000,10.40000000
ESP,Spain,2019,14.108333333333,10.70000000
ESP,Spain,2020,15.541666666667,8.70000000
ESP,Spain,2021,14.800000000000,10.50000000
EST,Estonia,2011,12.308333333333,12.00000000
EST,Estonia,2012,9.891666666667,12.10000000
EST,Estonia,2013,8.491666666667,11.90000000
EST,Estonia,2014,7.316666666667,11.10000000
EST,Estonia,2015,6.375000000000,10.60000000
EST,Estonia,2016,6.841666666667,10.20000000
EST,Estonia,2017,5.841666666667,10.30000000
EST,Estonia,2018,5.366666666667,10.00000000
EST,Estonia,2019,4.466666666667,10.40000000
EST,Estonia,2020,6.900000000000,10.80000000
EST,Estonia,2021,6.200000000000,11.10000000
FIN,Finland,2011,7.966666666667,9.80000000
FIN,Finland,2012,7.825000000000,9.30000000
FIN,Finland,2013,8.283333333333,9.10000000
FIN,Finland,2014,8.783333333333,8.80000000
FIN,Finland,2015,9.450000000000,8.50000000
FIN,Finland,2016,8.925000000000,8.40000000
FIN,Finland,2017,8.733333333333,8.40000000
FIN,Finland,2018,7.425000000000,8.40000000
FIN,Finland,2019,6.725000000000,8.20000000
FIN,Finland,2020,7.766666666667,8.20000000
FIN,Finland,2021,7.625000000000,8.10000000
FRA,France,2011,9.208333333333,12.40000000
FRA,France,2012,9.766666666667,12.20000000
FRA,France,2013,10.308333333333,11.60000000
FRA,France,2014,10.266666666667,12.00000000
FRA,France,2015,10.341666666667,11.90000000
FRA,France,2016,10.066666666667,11.70000000
FRA,France,2017,9.416666666667,11.70000000
FRA,France,2018,9.025000000000,11.60000000
FRA,France,2019,8.425000000000,11.40000000
FRA,France,2020,8.033333333333,10.40000000
FRA,France,2021,7.875000000000,10.50000000
GBR,United Kingdom,2011,8.100000000000,9.90000000
GBR,United Kingdom,2012,7.991666666667,9.60000000
GBR,United Kingdom,2013,7.608333333333,9.40000000
GBR,United Kingdom,2014,6.216666666667,9.40000000
GBR,United Kingdom,2015,5.408333333333,9.50000000
GBR,United Kingdom,2016,4.966666666667,9.50000000
GBR,United Kingdom,2017,4.450000000000,9.70000000
GBR,United Kingdom,2018,4.158333333333,9.80000000
GBR,United Kingdom,2019,3.933333333333,9.70000000
GBR,United Kingdom,2020,4.658333333333,9.70000000
GBR,United Kingdom,2021,4.633333333333,10.00000000
GRC,Greece,2011,18.091666666667,7.50000000
GRC,Greece,2012,24.833333333333,7.60000000
GRC,Greece,2013,27.816666666667,7.60000000
GRC,Greece,2014,26.641666666667,7.10000000
GRC,Greece,2015,24.966666666667,6.70000000
GRC,Greece,2016,23.891666666667,6.70000000
GRC,Greece,2017,21.850000000000,6.70000000
GRC,Greece,2018,19.758333333333,6.50000000
GRC,Greece,2019,17.850000000000,6.30000000
HUN,Hungary,2011,10.650000000000,11.40000000
HUN,Hungary,2012,10.575000000000,11.10000000
HUN,Hungary,2013,9.541666666667,10.60000000
HUN,Hungary,2014,7.475000000000,10.90000000
HUN,Hungary,2015,6.491666666667,10.80000000
HUN,Hungary,2016,4.900000000000,11.10000000
HUN,Hungary,2017,4.016666666667,10.70000000
HUN,Hungary,2018,3.508333333333,11.40000000
HUN,Hungary,2019,3.275000000000,10.70000000
HUN,Hungary,2020,4.100000000000,10.40000000
HUN,Hungary,2021,4.041666666667,10.40000000
IRL,Ireland,2011,15.408333333333,11.70000000
IRL,Ireland,2012,15.491666666667,11.50000000
IRL,Ireland,2013,13.758333333333,10.60000000
IRL,Ireland,2014,11.891666666667,10.80000000
IRL,Ireland,2015,9.933333333333,10.70000000
IRL,Ireland,2016,8.383333333333,11.20000000
IRL,Ireland,2017,6.766666666667,11.00000000
IRL,Ireland,2018,5.808333333333,11.00000000
IRL,Ireland,2019,4.991666666667,10.80000000
IRL,Ireland,2020,5.833333333333,10.10000000
IRL,Ireland,2021,6.258333333333,9.50000000
IRL,Ireland,2022,4.450000000000,10.20000000
ISL,Iceland,2011,7.675000000000,6.80000000
ISL,Iceland,2012,6.716666666667,6.80000000
ISL,Iceland,2013,5.891666666667,6.80000000
ISL,Iceland,2014,5.458333333333,7.00000000
ISL,Iceland,2015,4.566666666667,7.70000000
ISL,Iceland,2016,3.366666666667,7.50000000
ISL,Iceland,2017,3.300000000000,7.70000000
ISL,Iceland,2018,3.066666666667,7.70000000
ISL,Iceland,2019,3.958333333333,7.40000000
ISL,Iceland,2020,6.408333333333,7.40000000
ITA,Italy,2011,8.583333333333,7.00000000
ITA,Italy,2012,10.908333333333,7.50000000
ITA,Italy,2013,12.350000000000,7.40000000
ITA,Italy,2014,12.766666666667,7.60000000
ITA,Italy,2015,12.008333333333,7.10000000
ITA,Italy,2016,11.725000000000,7.10000000
ITA,Italy,2017,11.300000000000,7.40000000
ITA,Italy,2018,10.616666666667,7.80000000
ITA,Italy,2019,9.900000000000,7.70000000
LTU,Lithuania,2011,15.400000000000,14.70000000
LTU,Lithuania,2012,13.400000000000,14.70000000
LTU,Lithuania,2013,11.800000000000,14.50000000
LTU,Lithuania,2014,10.733333333333,14.20000000
LTU,Lithuania,2015,9.141666666667,14.00000000
LTU,Lithuania,2016,7.916666666667,13.20000000
LTU,Lithuania,2017,7.108333333333,12.30000000
LTU,Lithuania,2018,6.191666666667,11.20000000
LTU,Lithuania,2019,6.275000000000,11.10000000
LTU,Lithuania,2020,8.525000000000,11.40000000
LTU,Lithuania,2021,7.133333333333,12.10000000
LUX,Luxembourg,2011,4.833333333333,11.80000000
LUX,Luxembourg,2012,5.083333333333,11.80000000
LUX,Luxembourg,2013,5.833333333333,11.40000000
LUX,Luxembourg,2014,6.033333333333,11.60000000
LUX,Luxembourg,2015,6.458333333333,11.50000000
LUX,Luxembourg,2016,6.308333333333,11.40000000
LUX,Luxembourg,2017,5.616666666667,11.30000000
LUX,Luxembourg,2018,5.525000000000,11.10000000
LUX,Luxembourg,2019,5.616666666667,11.00000000
LVA,Latvia,2011,16.183333333333,10.10000000
LVA,Latvia,2012,15.025000000000,10.20000000
LVA,Latvia,2013,11.866666666667,10.40000000
LVA,Latvia,2014,10.825000000000,10.60000000
LVA,Latvia,2015,9.883333333333,10.80000000
LVA,Latvia,2016,9.650000000000,11.30000000
LVA,Latvia,2017,8.716666666667,10.90000000
LVA,Latvia,2018,7.408333333333,11.00000000
LVA,Latvia,2019,6.300000000000,11.60000000
LVA,Latvia,2020,8.091666666667,12.10000000
LVA,Latvia,2021,7.541666666667,12.20000000
NLD,Netherlands,2011,6.033333333333,9.00000000
NLD,Netherlands,2012,6.825000000000,9.10000000
NLD,Netherlands,2013,8.200000000000,8.70000000
NLD,Netherlands,2014,8.341666666667,8.40000000
NLD,Netherlands,2015,7.908333333333,8.30000000
NLD,Netherlands,2016,7.008333333333,8.20000000
NLD,Netherlands,2017,5.891666666667,8.30000000
NLD,Netherlands,2018,4.875000000000,8.30000000
NLD,Netherlands,2019,4.425000000000,8.20000000
NLD,Netherlands,2020,4.858333333333,7.80000000
NLD,Netherlands,2021,4.241666666667,8.10000000
NOR,Norway,2011,3.541666666667,6.40000000
NOR,Norway,2012,3.475000000000,6.20000000
NOR,Norway,2013,3.941666666667,6.20000000
NOR,Norway,2014,3.783333333333,6.10000000
NOR,Norway,2015,4.675000000000,6.00000000
NOR,Norway,2016,4.908333333333,6.00000000
NOR,Norway,2017,4.366666666667,6.00000000
NOR,Norway,2018,4.025000000000,6.00000000
NOR,Norway,2019,3.875000000000,6.10000000
NOR,Norway,2020,4.741666666667,7.20000000
NOR,Norway,2021,4.441666666667,7.40000000
NOR,Norway,2022,3.241666666667,6.60000000
POL,Poland,2011,9.958333333333,10.30000000
POL,Poland,2012,10.400000000000,10.20000000
POL,Poland,2013,10.608333333333,10.80000000
POL,Poland,2014,9.216666666667,10.50000000
POL,Poland,2015,7.658333333333,10.50000000
POL,Poland,2016,6.258333333333,10.50000000
POL,Poland,2017,4.950000000000,10.60000000
POL,Poland,2018,3.908333333333,10.70000000
POL,Poland,2019,3.341666666667,11.00000000
POL,Poland,2020,3.233333333333,10.90000000
POL,Poland,2021,3.358333333333,11.00000000
PRT,Portugal,2011,13.516666666667,10.90000000
PRT,Portugal,2012,16.591666666667,9.80000000
PRT,Portugal,2013,17.158333333333,9.50000000
PRT,Portugal,2014,14.650000000000,10.20000000
PRT,Portugal,2015,13.016666666667,10.30000000
PRT,Portugal,2016,11.466666666667,10.40000000
PRT,Portugal,2017,9.200000000000,10.40000000
PRT,Portugal,2018,7.166666666667,10.40000000
PRT,Portugal,2019,6.675000000000,10.40000000
SVK,Slovak Republic,2011,13.608333333333,10.20000000
SVK,Slovak Republic,2012,13.916666666667,10.10000000
SVK,Slovak Republic,2013,14.166666666667,9.90000000
SVK,Slovak Republic,2014,13.091666666667,10.10000000
SVK,Slovak Republic,2015,11.466666666667,10.20000000
SVK,Slovak Republic,2016,9.650000000000,9.90000000
SVK,Slovak Republic,2017,8.058333333333,9.70000000
SVK,Slovak Republic,2018,6.525000000000,10.10000000
SVK,Slovak Republic,2019,5.716666666667,10.30000000
SVK,Slovak Republic,2020,6.650000000000,10.20000000
SVK,Slovak Republic,2021,6.833333333333,9.60000000
SVN,Slovenia,2011,8.200000000000,10.60000000
SVN,Slovenia,2012,8.866666666667,11.00000000
SVN,Slovenia,2013,10.116666666667,9.50000000
SVN,Slovenia,2014,9.708333333333,10.90000000
SVN,Slovenia,2015,8.975000000000,11.50000000
SVN,Slovenia,2016,7.975000000000,10.50000000
SVN,Slovenia,2017,6.541666666667,10.10000000
SVN,Slovenia,2018,5.125000000000,10.00000000
SVN,Slovenia,2019,4.450000000000,11.10000000
SVN,Slovenia,2020,4.975000000000,9.80000000
SVN,Slovenia,2021,4.725000000000,10.60000000
SWE,Sweden,2011,7.958333333333,7.30000000
SWE,Sweden,2012,8.150000000000,7.20000000
SWE,Sweden,2013,8.200000000000,7.30000000
SWE,Sweden,2014,8.108333333333,7.20000000
SWE,Sweden,2015,7.591666666667,7.10000000
SWE,Sweden,2016,7.133333333333,7.20000000
SWE,Sweden,2017,6.866666666667,7.00000000
SWE,Sweden,2018,6.483333333333,7.20000000
SWE,Sweden,2019,6.916666666667,7.10000000
SWE,Sweden,2020,8.516666666667,7.50000000
SWE,Sweden,2021,8.883333333333,7.60000000
TUR,T??rkiye,2011,9.116666666667,1.50000000
TUR,T??rkiye,2012,8.408333333333,1.60000000
TUR,T??rkiye,2013,9.050000000000,1.40000000
TUR,T??rkiye,2014,9.891666666667,1.50000000
TUR,T??rkiye,2015,10.316666666667,1.40000000
TUR,T??rkiye,2016,10.883333333333,1.30000000
TUR,T??rkiye,2017,10.933333333333,1.40000000
TUR,T??rkiye,2018,10.941666666667,1.40000000
TUR,T??rkiye,2019,13.733333333333,1.30000000
TUR,T??rkiye,2020,13.141666666667,1.20000000
TUR,T??rkiye,2021,12.008333333333,1.40000000
